Country,geo,Year,CAGR types,CAGR value
Bulgaria,BG,2005-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2006-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2007-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2008-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2009-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2010-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2011-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2012-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2013-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2014-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2015-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2016-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2017-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2018-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2019-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2020-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2021-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2022-01-01,Res CAGR 2009_2021,0.13705884540090585
Bulgaria,BG,2023-01-01,Res CAGR 2009_2021,0.13705884540090585
Czechia,CZ,2005-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2006-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2007-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2008-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2009-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2010-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2011-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2012-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2013-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2014-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2015-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2016-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2017-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2018-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2019-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2020-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2021-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2022-01-01,Res CAGR 2009_2021,0.07622370989239413
Czechia,CZ,2023-01-01,Res CAGR 2009_2021,0.07622370989239413
Estonia,EE,2005-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2006-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2007-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2008-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2009-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2010-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2011-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2012-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2013-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2014-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2015-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2016-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2017-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2018-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2019-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2020-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2021-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2022-01-01,Res CAGR 2009_2021,0.03846832765477992
Estonia,EE,2023-01-01,Res CAGR 2009_2021,0.03846832765477992
Croatia,HR,2005-01-01,Res CAGR 2009_2021,0.05726354578990045
Croatia,HR,2006-01-01,Res CAGR 2009_2021,0.05726354578990045
Croatia,HR,2007-01-01,Res CAGR 2009_2021,0.05726354578990045
Croatia,HR,2008-01-01,Res CAGR 2009_2021,0.05726354578990045
Croatia,HR,2009-01-01,Res CAGR 2009_2021,0.05726354578990045
