nace_r2,geo,time,pers2_FTE_RSE,pers2_FTE_TOTAL,pers2_HC_RSE,pers2_HC_TOTAL,exp2_MIO_EUR,exp2_PC_TOT,fem2_FTE_RSE
C,AL,2005,,,,,,,
C,AL,2006,,,,,,,
C,AL,2007,,,,,,,
C,AL,2008,,,,,,,
C,AL,2009,,,,,,,
C,AL,2010,,,,,,,
C,AL,2011,,,,,,,
C,AL,2012,,,,,,,
C,AL,2013,,,,,,,
C,AL,2014,,,,,,,
C,AL,2015,,,,,,,
C,AL,2016,,,,,,,
C,AL,2017,,,,,,,
C,AL,2018,,,,,,,
C,AL,2019,,,,,,,
C,AL,2020,,,,,,,
C,AL,2021,,,,,,,
C,AL,2022,,,,,,,
C,AL,2023,,,,,,,
C,AT,2005,,,,,,,
C,AT,2006,12478.7,23779.9,14260.0,29364.0,3159.933,71.03,
C,AT,2007,13482.1,25737.3,15452.0,31609.0,3382.932,69.81,
C,AT,2008,,,,,,,
C,AT,2009,13677.8,25408.5,,,3435.405,67.45,
C,AT,2010,,,,,,,
C,AT,2011,13683.3,26568.7,15752.0,33698.0,3625.797,63.69,
C,AT,2012,,,,,,,
C,AT,2013,14263.1,28299.3,16702.0,36558.0,4205.638,62.04,
C,AT,2014,,,,,,,
C,AT,2015,15211.4,30664.3,18183.0,39731.0,4616.983,61.57,
C,AT,2016,,,,,,,
C,AT,2017,16894.9,32881.5,20339.0,42581.0,5163.271,65.45,
C,AT,2018,,,,,,,
C,AT,2019,18858.5,36856.7,22913.0,47170.0,5794.025,66.22,
C,AT,2020,,,,,,,
C,AT,2021,22919.9,41934.4,27270.0,53359.0,6551.102,71.93,
C,AT,2022,,,,,,,
C,AT,2023,,,,,,,
C,BA,2005,,,,,,,
C,BA,2006,,,,,,,
C,BA,2007,,,,,,,
C,BA,2008,,,,,,,
C,BA,2009,,,,,,,
C,BA,2010,,,,,,,
C,BA,2011,,,,,,,
C,BA,2012,,,,,,,
C,BA,2013,,,,,3.199,12.45,
C,BA,2014,,,,,,,
C,BA,2015,,,,,,,
C,BA,2016,,,,,,,
C,BA,2017,,,,,,,
C,BA,2018,,,,,,,
C,BA,2019,63.5,113.5,64.0,114.0,6.063,46.19,
C,BA,2020,60.0,113.0,60.0,113.0,6.716,48.19,
C,BA,2021,62.0,113.0,62.0,113.0,5.061,35.51,
C,BA,2022,,,,,,,
C,BA,2023,,,,,,,
C,BE,2005,,,,,,,
C,BE,2006,,,,,,,
C,BE,2007,,,,,,,
C,BE,2008,9869.6,19582.5,11620.0,23122.0,3008.924,64.71,
C,BE,2009,9993.0,19413.5,11598.0,23193.0,2955.519,64.6,
C,BE,2010,10888.7,18629.8,13157.0,22336.0,3015.891,59.99,
C,BE,2011,11439.0,19784.6,13526.0,23518.0,3532.277,62.93,
C,BE,2012,,19312.7,,,3673.943,59.75,
C,BE,2013,11384.9,19803.7,13320.0,24052.0,3759.407,59.14,
C,BE,2014,,20343.9,,,3685.345,55.2,
C,BE,2015,12684.7,20730.3,15399.0,26115.0,3865.434,54.62,
C,BE,2016,,,,,,,
C,BE,2017,,,,,,,
C,BE,2018,,23570.6,,,5138.268,54.47,
C,BE,2019,13711.4,22482.5,18163.0,30933.0,5683.682,51.0,
C,BE,2020,,24629.9,,,5910.159,51.22,
C,BE,2021,16475.8,27832.4,21477.0,37545.0,5640.527,43.82,
C,BE,2022,,,,,,,
C,BE,2023,,,,,,,
C,BG,2005,,,,,,,
C,BG,2006,669.0,1348.0,776.0,1667.0,12.801,41.45,
C,BG,2007,,1384.0,,1769.0,14.806,34.04,
C,BG,2008,689.0,,,1510.0,21.265,41.13,
C,BG,2009,,,,,12.804,23.15,
C,BG,2010,,,,,,,
C,BG,2011,540.0,,634.0,,13.783,11.79,
C,BG,2012,753.0,1097.0,874.0,1346.0,24.284,15.82,
C,BG,2013,801.0,1252.0,923.0,1515.0,,,
C,BG,2014,877.0,1584.0,990.0,,,,
C,BG,2015,,,2325.0,,,,
C,BG,2016,,4487.0,,5283.0,95.055,34.56,
C,BG,2017,,,,,,,
C,BG,2018,,,,,,,
C,BG,2019,,5013.0,,6189.0,91.887,26.7,
C,BG,2020,2546.0,4923.0,2974.0,6231.0,94.604,26.77,
C,BG,2021,2373.0,4405.0,2777.0,5721.0,91.494,25.3,
C,BG,2022,,,,,112.336,25.6,
C,BG,2023,2291.0,4071.0,2668.0,5299.0,,,
C,CH,2005,,,,,,,
C,CH,2006,,,,,,,
C,CH,2007,,,,,,,
C,CH,2008,5957.7,28685.5,6212.0,31834.0,5635.631,74.67,
C,CH,2009,,,,,,,
C,CH,2010,,,,,,,
C,CH,2011,,,,,,,
C,CH,2012,10023.0,33396.0,10668.0,35538.0,7293.68,68.58,
C,CH,2013,,,,,,,
C,CH,2014,,,,,,,
C,CH,2015,14388.0,32706.0,15283.0,36160.0,8647.136,66.14,
C,CH,2016,,,,,,,
C,CH,2017,12793.0,31397.0,13693.0,34325.0,8970.7,70.63,
C,CH,2018,,,,,,,
C,CH,2019,14035.0,33689.0,14990.0,37118.0,9394.843,67.46,
C,CH,2020,,,,,,,
C,CH,2021,16028.0,34796.0,17088.0,38363.0,10593.278,68.27,
C,CH,2022,,,,,,,
C,CH,2023,15391.0,36053.0,16841.0,40867.0,11491.872,62.19,
C,CN_X_HK,2005,,,,,,,
C,CN_X_HK,2006,,,,,,,
C,CN_X_HK,2007,,,,,,,
C,CN_X_HK,2008,879094.0,1136392.0,,,28652.61,86.62,
C,CN_X_HK,2009,570294.0,1355658.0,,,37483.124,84.06,
C,CN_X_HK,2010,602390.0,1583398.0,,,49616.07,85.84,
C,CN_X_HK,2011,651529.0,1824428.0,,,63309.321,86.56,
C,CN_X_HK,2012,704863.0,2131538.0,,,84460.569,87.29,
C,CN_X_HK,2013,752481.2,2368204.7,,,97374.381,87.6,
C,CN_X_HK,2014,765412.2,2517347.1,,,108490.791,88.27,
C,CN_X_HK,2015,837591.0,2528917.0,,,138384.879,88.68,
C,CN_X_HK,2016,864965.0,2592367.0,,,143906.047,87.12,
C,CN_X_HK,2017,844714.0,2629970.0,,,152374.606,85.1,
C,CN_X_HK,2018,899708.0,2888638.0,,,160064.365,82.04,
C,CN_X_HK,2019,930864.0,3044918.0,,,175017.244,80.01,
C,CN_X_HK,2020,,3349924.0,,,187738.039,79.17,
C,CN_X_HK,2021,,,,,221735.029,78.66,
C,CN_X_HK,2022,,,,,263033.094,77.98,
C,CN_X_HK,2023,,,,,,,
C,CY,2005,,,,,,,
C,CY,2006,,,,,,,
C,CY,2007,,,,,,,
C,CY,2008,74.7,110.5,120.0,204.0,5.878,35.13,
C,CY,2009,63.6,92.9,110.0,174.0,4.963,30.2,
C,CY,2010,66.7,95.9,121.0,181.0,5.06,34.2,
C,CY,2011,58.8,86.1,112.0,165.0,4.174,30.32,
C,CY,2012,62.6,90.0,109.0,162.0,4.153,29.75,
